phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
0.6,0.61116,0.005,0.9325,0.0625,563.4303361942382,50.175147281031016,1127.265599324672,53477.6173012131,927467.4064787125,488.7092056710669,7482.267691689785,4108.706127325685,947.738471311881,179.16744850290442,24.305079002247105,1131.609090506051,38.26450844995612,153.97312479440444,20.597869201563938,7.877721371808994,88.61943637967532,1.4124229596261286,6.41045237189139,0.0031932351812974944
0.55,0.66697,0.005,0.926818182,0.068181818,573.4567182381811,51.35580708313801,1124.0948953063207,59182.91852359289,921957.3947631232,453.67255034121183,7491.867273942037,3980.7615279273905,928.9393064789441,165.6380351972347,22.56388057659616,1073.963715701645,35.334908057573244,145.55919571921473,20.22989330938956,7.079814855273987,90.71467111840539,1.3072443378581107,6.501511365436343,0.003206708364767091
0.5,0.73349,0.005,0.92,0.075,583.9899192269602,52.58377567642625,1121.5587176378447,66035.78098798361,915327.2236184541,417.6389272327106,7494.697928883566,3840.5580710791537,904.42123645151,151.7359953322216,20.80628246721265,1012.0165695873061,32.39527661259245,136.94190612616347,19.809240083334803,6.29822432615793,92.94957033403834,1.2008474146797192,6.589815913658974,0.003217807058014321
0.45,0.81519,0.005,0.911666667,0.083333333,595.0413971987543,53.85997774216681,1119.6586212554657,74415.56810987243,907200.2466216837,380.6396412720915,7490.078525283704,3687.0390618172355,873.4527786775595,137.46378883674603,19.03389695910329,945.3320450316318,29.445022273180314,128.10795883296763,19.3302753134269,5.534264412182012,95.32768329349072,1.0929527555196652,6.6750563730422,0.003226504211021112
0.4,0.91709,0.005,0.90125,0.09375,606.6285962672094,55.186087640878704,1118.422212203431,84891.05855908743,897011.2594126665,342.69534196069174,7477.032389444656,3518.763847837648,835.1643855249134,122.81867266774958,17.247102059967222,873.3995609222161,26.483176885646195,119.03777058469299,18.7880370002812,4.789625999073059,97.85290697305491,0.9831849359190135,6.756853631396521,0.0032326811749258263
0.35,1.0482,0.005,0.887857143,0.107142857,618.7765941145207,56.5650649064307,1117.918084490121,98355.59888549855,883871.6706266751,303.8138778916705,7454.144608175501,3333.7603582259653,788.5129441424149,107.79169567760943,15.44448508836341,795.6185301402832,23.508168700799796,109.70199417972044,18.178676501143336,4.066419736728319,100.5293212889863,0.8710424803345992,6.834747445963945,0.0032360674229316958
0.31,1.18334,0.005,0.874032258,0.120967742,628.920485264347,57.70961179759552,1118.1289845599822,112247.15426319012,870271.9907721509,272.02973205943687,7427.38182930634,3171.9198649836826,744.333192696091,95.48485304451047,13.988354618963617,728.7112264510455,21.117015081221826,102.01274379777695,17.6412570656787,3.5049849187136917,102.781620033982,0.779176518670844,6.893894148803509,0.0032364295700895492
0.28,1.31012,0.005,0.861071429,0.133928571,636.7881031363831,58.59465439742991,1118.7165819816219,125263.1463767932,857496.2621170717,247.7887621275519,7401.423493978255,3041.2875359513605,706.7073391228531,86.08149750882954,12.885624848298926,675.528896774567,19.31589454826675,96.09578892068491,17.20875163102549,3.094873641363284,104.53591135092442,0.7087411867801251,6.936219247510905,0.0032350564538817855
0.25,1.46734,0.005,0.845,0.15,644.8835395984962,59.505001307350256,1119.7484821005528,141393.51675491373,841626.9356701829,223.19457263715512,7369.4894385538455,2901.645923261521,664.8324801943571,76.52449996020077,11.771000562431396,619.5568708237879,17.506845033146654,90.02873637012247,16.750986618200972,2.69492518360124,106.34435394944101,0.6367447032682793,6.976688482857285,0.003231977543121502
0.23,1.59493,0.005,0.831956522,0.163043478,650.4055038532192,60.12730984283847,1120.729448382265,154477.7821391345,828729.5747966775,206.5976819434545,7344.344195539514,2802.960424633133,634.3606562867092,70.06603485558236,11.019554502210521,580.5878488578535,16.29564740626542,85.88784022803262,16.43170493647055,2.4343002890646877,107.5778371062205,0.587754362183442,7.002615461599598,0.003228797408399316
0.2,1.83417,0.005,0.8075,0.1875,658.859769730425,61.086095120892054,1122.73144263251,178995.96300057543,804513.4396499065,181.39332964904753,7299.808034704858,2645.487901842895,584.5101644822224,60.24744302273539,9.876224483544755,519.4868610938574,14.469613823170734,79.50657210357109,15.930989646785678,2.0529439388038178,109.46192141948406,0.5125726010674745,7.03999194644843,0.003221980412275547
0.19,1.93071,0.005,0.797631579,0.197368421,661.7157026907232,61.41283902690559,1123.5625781961037,188884.46885097367,794731.9441322861,172.90782379856134,7282.888500819355,2590.2333982498553,566.7256544090155,56.9404882163629,9.489873124948552,498.37990703261664,13.858102330504527,77.32760727598229,15.757935985041701,1.928499538138407,110.0959765901401,0.487016850403885,7.0520912375593685,0.0032190746567920766
0.17,2.15785,0.005,0.774411765,0.220588235,667.4607742860171,62.07735923819518,1125.5098008110276,212142.29641547977,771698.5427538987,155.80838107636066,7245.469918957617,2475.1618741526418,529.3143975403151,50.27879844297635,8.707558465585123,455.0059060113144,12.630153757468856,72.87940348948086,15.401522333305756,1.683813402538453,111.36513567942951,0.43510155119210664,7.075894612134976,0.0032121578439471836
0.15,2.44557,0.005,0.745,0.25,673.199587008339,62.75610638743502,1127.885927583012,241586.50812115116,742493.7396882712,138.53566721186786,7202.637897641245,2353.488380777402,489.3600040148182,43.561299588153624,7.910003935560369,410.03392761253303,11.3947264778671,68.29300576102405,15.028943438028662,1.4449689181675385,112.61977593097905,0.38206084438748616,7.099487846151163,0.0032035706639555643
0.13,2.75147,0.005,0.706538462,0.288461538,678.8227676925876,63.44649630574737,1130.7512387881018,280069.6412047993,704266.3762724502,121.08869678000339,7153.456506602449,2224.5421767729677,446.792579908043,36.80515509973461,7.093704406991281,363.41462756010606,10.15052196010897,63.541086426609255,14.634853905927189,1.212308859924947,113.82685833345403,0.32786684961713286,7.123558405272185,0.0031930629538863783
0.11,3.33486,0.005,0.654090909,0.340909091,684.1162381253482,64.14115083080337,1134.1572496825072,332518.3143004321,652091.126954679,103.46977061066092,7096.72875918016,2087.6324955768064,401.62083408839317,30.042426753948202,6.254421840793567,315.1273088037879,8.895958804170865,58.586535034801926,14.208743138239162,0.9863089352474566,114.92328189617255,0.2725766435765039,7.1494463283202485,0.00318039669770864
0.1,3.66835,0.005,0.62,0.375,686.5183029378346,64.48516226270225,1136.071768155812,366596.8286729504,618156.2437616474,94.59822512598926,7065.053036851693,2015.992436186244,378.1021256082701,26.675473876599376,5.8246596023148225,290.36699435923634,8.264201021070715,56.0176462978958,13.977763132496447,0.8760270876871288,115.39445950164706,0.24458221885107725,7.163827352951704,0.0031731946790892287
